player_name,transfer_value
Aaron Ramsdale,€16.00m
Aaron Wan-Bissaka,€22.00m
Abdoulaye Doucouré,€8.00m
Adam Armstrong,"€14.00m
Last update: Mar 28, 2025"
Adam Smith,€1.00m
Adam Wharton,"€35.00m
Last update: Mar 18, 2025"
Adama Traoré,€10.00m
Alejandro Garnacho,"€45.00m
Last update: Mar 18, 2025"
Alex Iwobi,"€25.00m
Last update: Dec 16, 2024"
Alexander Isak,"€100.00m
Last update: Mar 18, 2025"
Alexis Mac Allister,"€90.00m
Last update: Mar 18, 2025"
Alisson,€25.00m
Alphonse Areola,"€10.00m
Last update: Dec 16, 2024"
Amad Diallo,€40.00m
Amadou Onana,€55.00m
Andreas Pereira,"€20.00m
Last update: Dec 16, 2024"
Andrew Robertson,"€20.00m
Last update: Mar 18, 2025"
André,N/a
André Onana,"€32.00m
Last update: Mar 18, 2025"
Anthony Elanga,€35.00m
Anthony Gordon,"€65.00m
Last update: Mar 18, 2025"
Antoine Semenyo,€35.00m
Antonee Robinson,€35.00m
Archie Gray,"€35.00m
Last update: Mar 18, 2025"
Arijanet Muric,€6.00m
Ashley Young,€500k
Axel Tuanzebe,€5.00m
Bart Verbruggen,"€25.00m
Last update: Dec 16, 2024"
Ben Davies,€8.00m
Ben Johnson,"€9.00m
Last update: Dec 16, 2024"
Bernardo Silva,"€45.00m
Last update: Mar 18, 2025"
Bernd Leno,"€11.00m
Last update: Dec 16, 2024"
Beto,N/a
Bilal El Khannouss,"€30.00m
Last update: Dec 16, 2024"
Boubacar Kamara,"€38.00m
Last update: Dec 16, 2024"
Boubakary Soumaré,"€14.00m
Last update: Dec 16, 2024"
Brennan Johnson,"€50.00m
Last update: Dec 16, 2024"
Bruno Fernandes,"€55.00m
Last update: Dec 16, 2024"
Bruno Guimarães,€80.00m
Bryan Mbeumo,"€50.00m
Last update: Dec 16, 2024"
Bukayo Saka,"€150.00m
Last update: Dec 16, 2024"
Caleb Okoli,€12.00m
Callum Hudson-Odoi,"€24.00m
Last update: Dec 16, 2024"
Calvin Bassey,€25.00m
Cameron Archer,€14.00m
Cameron Burgess,"€2.50m
Last update: Dec 16, 2024"
Carlos Baleba,"€35.00m
Last update: Dec 16, 2024"
Carlos Soler,"€20.00m
Last update: Dec 16, 2024"
Casemiro,"€12.00m
Last update: Dec 16, 2024"
Chris Richards,"€12.00m
Last update: Dec 16, 2024"
Chris Wood,€10.00m
Christian Eriksen,"€6.00m
Last update: Dec 16, 2024"
Christian Nørgaard,"€12.00m
Last update: Mar 18, 2025"
Christopher Nkunku,"€45.00m
Last update: Mar 18, 2025"
Cody Gakpo,"€70.00m
Last update: Mar 18, 2025"
Cole Palmer,€130.00m
Conor Coady,"€3.00m
Last update: Dec 16, 2024"
Craig Dawson,"€2.00m
Last update: Dec 16, 2024"
Cristian Romero,€55.00m
Curtis Jones,"€50.00m
Last update: Mar 18, 2025"
Daichi Kamada,€15.00m
Dan Burn,"€7.00m
Last update: Dec 16, 2024"
Dango Ouattara,"€25.00m
Last update: Mar 18, 2025"
Daniel Muñoz,"€25.00m
Last update: Dec 16, 2024"
Danny Welbeck,"€5.00m
Last update: Dec 16, 2024"
